Unnamed: 0,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,Rotten Tomatoes Rating
7513,7514,Einstein's God Model,2016,,6.2,,0,0,1,0,0,Philip T. Johnson,"Drama,Sci-Fi,Thriller",United States,English,89.0,NA
7514,7515,Three Worlds,2012,,6.6,38%,0,0,1,0,0,Catherine Corsini,Drama,France,"French,Romanian",101.0,NA
7515,7516,The Entitled,2011,18+,6.1,,0,0,1,0,0,Aaron Woodley,"Crime,Thriller",Canada,English,91.0,NA
7516,7517,Dive!,2010,all,7.1,,0,0,1,0,0,Jeremy Seifert,"Documentary,Family",United States,English,45.0,41
7517,7518,Mythica: The Necromancer,2015,,5.5,,0,0,1,0,0,A. Todd Smith,"Action,Adventure,Fantasy",United States,English,93.0,NA
7518,7519,Bhaagamathie,2018,all,7.0,,0,0,1,0,0,Ashok G.,"Action,Horror,Thriller",India,"Telugu,Tamil,Malayalam",138.0,NA
7519,7520,Stage Door Canteen,1943,,6.3,,0,0,1,0,0,Frank Borzage,"Comedy,Musical,Romance,War",United States,"English,Russian,Spanish",132.0,NA
7520,7521,Bloody Tie,2006,,6.3,,0,0,1,0,0,Ho Choi,"Action,Crime,Thriller",South Korea,"Korean,French",117.0,NA
7521,7522,Broadway Damage,1997,,6.6,29%,0,0,1,0,0,Victor Mignatti,"Comedy,Drama,Musical,Romance",United States,English,111.0,29
7522,7523,Hulchul,2004,all,6.9,,0,0,1,0,0,Priyadarshan,"Action,Comedy,Drama,Romance",India,Hindi,149.0,NA
7523,7524,Mythica: The Iron Crown,2016,,5.4,,0,0,1,0,0,John Lyde,"Action,Adventure,Fantasy",United States,English,93.0,NA
7524,7525,Hansel and Gretel Get Baked,2013,18+,4.3,71%,0,0,1,0,0,Duane Journey,"Comedy,Horror",United States,English,86.0,71
7525,7526,33 Postcards,2011,,6.2,27%,0,0,1,0,0,Pauline Chan,"Crime,Drama,Music","China,Australia","English,Mandarin",97.0,27
7526,7527,Loverboy,2005,18+,5.4,18%,0,0,1,0,0,"Jon Knautz,Trevor Matthews","Horror,Thriller",Canada,English,99.0,18
7527,7528,Babysitter Wanted,2009,18+,5.4,,0,0,1,0,0,"Jonas Barnes,Michael Manasseri","Horror,Thriller",United States,English,93.0,NA
7528,7529,Blood Bound,2019,,4.1,,0,0,1,0,0,Richard LeMay,"Horror,Thriller",United States,English,96.0,55
7529,7530,Blame,2011,18+,5.6,58%,0,0,1,0,0,Quinn Shephard,Drama,United States,English,100.0,93
7530,7531,Chitchor,1976,all,7.5,,0,0,1,0,0,Basu Chatterjee,"Drama,Romance",India,Hindi,105.0,NA
7531,7532,Born Innocent,1974,,6.4,,0,0,1,0,0,Donald Wrye,Drama,United States,English,98.0,NA
7532,7533,Mediastan,2013,13+,7.8,,0,0,1,0,0,Johannes Wahlström,Documentary,Sweden,"Swedish,Russian,English",94.0,NA
